Molecule ChEMBL ID,Smiles,pChEMBL Value,Assay ChEMBL ID
CHEMBL2165040,c1cnc(Nc2cccc3n[nH]cc23)c(-c2ncnc3nc[nH]c23)c1,4.64,CHEMBL3706341
CHEMBL4293439,C[C@@H]1CN(c2nc(-c3cnc(N)cc3C(F)F)nc(N3C[C@@H](C)O[C@@H](C)C3)n2)C[C@H](C)O1,4.81,CHEMBL4276427
CHEMBL3698320,Cc1nc2ccc(Cl)cc2c(N2CC(C)(C)c3ccc(-c4cn[nH]c4)cc32)c1C,5.02,CHEMBL3705734
CHEMBL4288989,CC1(C)CN(c2nc(-c3cnc(N)cc3C(F)F)nc(N3CCOC(C)(C)C3)n2)CCO1,5.06,CHEMBL4276427
CHEMBL3698332,COc1cc2nc(C)c(C)c(N3CC4(CCOCC4)c4ccc(C#N)cc43)c2cc1Cl,5.12,CHEMBL3705734
CHEMBL2165041,COc1ccc(Nc2ncccc2-c2ncnc3nc[nH]c23)cn1,5.14,CHEMBL3706341
CHEMBL2418338,CCNC(=O)Nc1ccc(-c2nc(N3CCOC[C@@H]3C)c3c(n2)nc(C(C)(C)O)n3C)cc1,5.16,CHEMBL2421129
CHEMBL2418350,CCNC(=O)Nc1ccc(-c2nc(N3CCOC[C@@H]3CC)c3c(n2)c(C)nn3C)cc1,5.24,CHEMBL2421129
CHEMBL3643919,c1cnc(Nc2cccc3[nH]ccc23)c(-c2ncnc3[nH]cnc23)c1,5.25,CHEMBL3706341
CHEMBL3698318,COc1ccccc1-c1cc(N2CC(C)(C)c3ccc(N4CCOCC4)cc32)c2cc(Cl)ccc2n1,5.25,CHEMBL3705734
CHEMBL4289122,Nc1cc(C(F)(F)F)c(-c2nc(N3C4CCC3COC4)cc(N3C4CCC3COC4)n2)cn1,5.25,CHEMBL4276427
CHEMBL2418351,CCNC(=O)Nc1ccc(-c2nc(N3C[C@@H]4C[C@H]3CO4)c3c(cnn3C)n2)cc1,5.29,CHEMBL2421129
CHEMBL2171926,Cc1c(-c2ccccn2)nc2cc(F)ccc2c1N1CC(C)(C)c2ccc(-c3ccncc3)cc21,5.3,CHEMBL3705734
CHEMBL4288210,Nc1cc(C(F)F)c(-c2nc(N3C[C@H]4C[C@@H]3CO4)nc(N3C[C@H]4C[C@@H]3CO4)n2)cn1,5.33,CHEMBL4276427
CHEMBL4539743,Nc1cc(C(F)(F)F)c(-c2nc(N3C4CCC3COC4)nc(N3C4CCC3COC4)n2)cn1,5.33,CHEMBL4360966
CHEMBL1668270,Cc1ccc(NC(=O)c2c(C)ccc3c(N)nc(C)nc23)cn1,5.34,CHEMBL1670738
CHEMBL4572049,CCCCn1nc(-c2ccc3oc(N)nc3c2)c2c(Cl)nc(N)nc21,5.34,CHEMBL4410952
CHEMBL1668265,Cc1nc(N)c2ccc(C)c(C(=O)Nc3ccn[nH]3)c2n1,5.34,CHEMBL1670738
